created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Nov 11 13:13:20 +0000 2020;1326513339363545089;"@HaloBCA kcewa dengan BCA yang menolak pendebetan reksadana welma saya karena ttd beda dengan ktp. Sudah saya boros buang materai jadi repot harus ke cabang lagi, kalau nasabah memang di ktp beda karena space ttd sempit bagaimana?! Yang penting sudah datang orangnya!";0;1;0;0;in;775141916232982528;1326513339363545089;Shin_Goku7;https://twitter.com/Shin_Goku7/status/1326513339363545089
Wed Nov 04 07:37:00 +0000 2020;1323891984180785152;"@stanleycia Agar dapat melakukan transaksi SBN Pasar Perdana melalui Welma, maka Ibu Cia BCA harus memenuhi kriteria berikut: 1. Berstatus Warga Negara Indonesia (WNI) 2. Memiliki KTP dan NPWP 3. Memiliki Single Investor Identification (SID) dan rekening efek yang (1/2) ^Wati";0;0;0;0;in;620977821;1323881817070473216;HaloBCA;https://twitter.com/HaloBCA/status/1323891984180785152
Wed Nov 04 07:05:14 +0000 2020;1323883991221571586;"@stanleycia agar dapat bertransaksi Investasi di BCA/Welma. Tks :) (2/2) ^komar";0;0;0;0;in;620977821;1323881817070473216;HaloBCA;https://twitter.com/HaloBCA/status/1323883991221571586
Wed Nov 04 03:13:26 +0000 2020;1323825655453159424;"@HaloBCA selamat pagi.. saya mencoba transaksi di welma bca sejak tadi belum berhasil, tulisannya transaksi anda tidak dapat diproses. Apakah sedang ada gangguan? Tks";0;2;0;0;in;300874922;1323825655453159424;hans_kristianto;https://twitter.com/hans_kristianto/status/1323825655453159424
Tue Oct 27 09:10:08 +0000 2020;1321016318326235137;"@yumaticz Tidak harus ke cabang Bapak. Agar Bapak Yudi dapat bertransaksi finansial di Welma, BCA ID harus dikaitkan ke rekening BCA milik Bapak dengan langkah-langkah sebagai berikut: 1. Pilih “Connect My Account” di layar portofolio atau layar profil (1/4) ^Naomi";0;0;0;0;in;620977821;1321013018776399872;HaloBCA;https://twitter.com/HaloBCA/status/1321016318326235137
Tue Oct 27 09:10:08 +0000 2020;1321016318301106176;"@yumaticz Welma. 2. Input nomor kartu ATM (Paspor BCA atau BCA Dollar). 3. Kirim SMS verifikasi dari nomor handphone e-Banking yang telah terinstall Welma. 4. Buat PIN BCA ID. 5. Menampilkan seluruh nomor rekening yang berada dalam 1 CIN yang sama dengan nomor (2/4) ^Naomi";0;0;0;0;in;620977821;1321013018776399872;HaloBCA;https://twitter.com/HaloBCA/status/1321016318301106176
Tue Oct 27 08:57:01 +0000 2020;1321013018776399872;"@HaloBCA Hai...saya barusan install welma. Utk mulai pembelian apakah harus aktivasi lewat CS BCA terdekat?";0;8;0;0;in;212946029;1321013018776399872;yumaticz;https://twitter.com/yumaticz/status/1321013018776399872
Wed Oct 21 01:44:06 +0000 2020;1318729744687378432;"Welma adalah aplikasi mobile dari BCA yang memberikan informasi-informasi terkait investasi lewat layanan BCA. https://t.co/79zUBG0ZJO";0;0;4;7;in;23343960;1318729744687378432;kompascom;https://twitter.com/kompascom/status/1318729744687378432
Tue Oct 20 03:00:00 +0000 2020;1318386457979990016;"Bingung sekarang lagi ramai bahas ORI, SR, SBR, sama reksa dana? Pengen ikut nimbrung tapi takut nggak nyambung? Jangan lagi dong. Kuy, ikutan ngobrol sama @kadekarini, Welma dari BCA, &amp  Batavia Prosperindo Aset Manajemen soal investasi di webinar ‘Investasi Di Rumah Aja’. https://t.co/sfuT177EiC";0;0;1;0;in;31614598;1318386457979990016;LokadataInfo;https://twitter.com/LokadataInfo/status/1318386457979990016
Mon Oct 19 02:23:00 +0000 2020;1318014756918235136;"Bingung sekarang lagi ramai bahas ORI, SR, SBR, sama reksa dana? Pengen ikut nimbrung tapi takut nggak nyambung? Jangan lagi dong. Kuy, ikutan ngobrol sama @kadekarini, Welma dari BCA, &amp  Batavia Prosperindo Aset Manajemen soal investasi di webinar ‘Investasi Di Rumah Aja’. https://t.co/hW1RgTZfLI";0;0;0;0;in;31614598;1318014756918235136;LokadataInfo;https://twitter.com/LokadataInfo/status/1318014756918235136
Sun Oct 18 03:00:01 +0000 2020;1317661687441461248;"Bingung sekarang lagi ramai bahas ORI, SR, SBR, sama reksa dana? Pengen ikut nimbrung tapi takut nggak nyambung? Jangan lagi dong. Kuy, ikutan ngobrol sama @kadekarini, Welma dari BCA, &amp  Batavia Prosperindo Aset Manajemen soal investasi di webinar ‘Investasi Di Rumah Aja’. https://t.co/H1rqgUD6ES";0;0;2;0;in;31614598;1317661687441461248;LokadataInfo;https://twitter.com/LokadataInfo/status/1317661687441461248
Sat Oct 17 04:14:00 +0000 2020;1317317915318734848;"Bingung sekarang lagi ramai bahas ORI, SR, SBR, sama reksa dana? Pengen ikut nimbrung tapi takut nggak nyambung? Jangan lagi dong. Kuy, ikutan ngobrol sama @kadekarini, Welma dari BCA, &amp  Batavia Prosperindo Aset Manajemen soal investasi di webinar ‘Investasi Di Rumah Aja’. https://t.co/Zlce3HZvkO";0;0;0;1;in;31614598;1317317915318734848;LokadataInfo;https://twitter.com/LokadataInfo/status/1317317915318734848
Fri Oct 16 04:30:00 +0000 2020;1316959555050373120;"Bingung sekarang lagi ramai bahas ORI, SR, SBR, sama reksa dana? Pengen ikut nimbrung tapi takut nggak nyambung? Jangan lagi dong. Kuy, ikutan ngobrol sama @kadekarini, Welma dari BCA, &amp  Batavia Prosperindo Aset Manajemen soal investasi di webinar ‘Investasi Di Rumah Aja’. https://t.co/b6LEAH4xpF";0;0;1;0;in;31614598;1316959555050373120;LokadataInfo;https://twitter.com/LokadataInfo/status/1316959555050373120
Thu Oct 15 06:46:57 +0000 2020;1316631631197732865;"Bingung orang2 skr lagi ramai bahas ORI, SR, SBR, sama reksa dana? Pengen ikut nimbrung tapi takut nggak nyambung? Jangan lagi dong. Kuy, ikutan ngobrol sama @kadekarini , Welma dari BCA, &amp  Batavia Prosperindo Aset Manajemen soal investasi di webinar ‘Investasi Di Rumah Aja’. https://t.co/9GS56WHdtn";0;1;3;0;in;2837798976;1316631631197732865;smartmoney_co;https://twitter.com/smartmoney_co/status/1316631631197732865
Thu Oct 08 08:15:29 +0000 2020;1314117197174722565;"@gabrielleegaby Kami infokan apabila aplikasi Welma terblokir dikarenakan salah PIN, kami sarankan hubungi layanan Halo BCA 1500888, dibutuhkan verifikasi data. Perihal waktu khusus transaksi Welma, tidak ada jam khusu transaksi Welma, bisa dilakukan kapan saja ya (1/2) ^Beno";0;1;0;0;in;620977821;1314112123564294144;HaloBCA;https://twitter.com/HaloBCA/status/1314117197174722565
Thu Oct 08 07:55:19 +0000 2020;1314112123564294144;"@HaloBCA  saya hendak melakukan pembelian ORI 18 via app Welma tapi kenapa saat masukkan pin muncul "transaksi tidak dapat diproses, harap hub Halo BCA" meski saldo cukup? Apakah memang ada jam khusus utk transaksi via Welma? Thank you.";0;7;0;0;in;556703684;1314112123564294144;gabrielleegaby;https://twitter.com/gabrielleegaby/status/1314112123564294144
